id,best_position
0,[-0.18917822  0.0566181   0.99841114 -0.09761461 38.22353327  1.00291881]
1,[ 0.44635898 61.63232195  0.99905003  0.2131475  -0.22715967  1.0028282 ]
2,"[4.37342590e-01 6.22408204e+01 1.00001493e+00 3.51244319e-01
 6.11981328e-02 1.00481124e+00]"
3,[-0.39670083 -0.20816741  1.00112638  0.24930288 38.02553156  1.00029051]
4,[ 0.24954185  0.40189343  0.99528497 -0.47471997 38.39159585  1.00079595]
5,[ 0.18481664 24.34911191  1.00249158 -0.44491509  0.26605087  0.99524584]
6,[ 0.10159377 -0.48709334  1.00229818 -0.4805473  75.65729464  0.99877197]
7,"[-5.43948775e-02 -2.79700640e-01  1.00299101e+00  2.16243333e-02
  7.61643415e+01  9.95031197e-01]"
8,[ 0.35939673 24.20214148  1.0000813   0.33146418  0.17912776  0.9988699 ]
9,"[-2.52854153e-02  2.36906478e+01  9.97881392e-01  5.97000655e-03
 -2.16978380e-01  9.97755955e-01]"
10,[ 0.0870962  -0.20157853  0.99822961 55.05687625  0.23716201  0.9954826 ]
11,"[ 4.47113518e+01  1.97939735e-01  1.00080942e+00 -4.17746829e-01
  5.21209124e-03  1.00035650e+00]"
12,[-0.10941956  0.08152757  1.00298532 55.47404063 -0.16674814  1.00233944]
13,"[-3.16646026e-01 -1.12649991e-01  1.00164991e+00  5.50295404e+01
 -4.73596357e-02  9.98076829e-01]"
14,[-0.4942144  -0.24196072  0.99656386 54.8897774  -0.47239198  1.00058253]
15,[ 0.14434837  0.49079632  1.00221957 19.91641309  0.03692497  0.9971455 ]
16,"[-2.07164235e-01  2.00235869e-02  1.00296129e+00  2.02527455e+01
  4.87790381e-02  9.97654253e-01]"
17,"[ 8.03788120e+01 -3.08474884e-01  9.98053302e-01 -4.02192173e-01
 -1.41054021e-02  1.00160015e+00]"
18,[-0.13121133  0.4811302   1.00072102 20.37582447 -0.31939295  0.99538432]
19,[-0.4268797   0.11789637  0.99664343 19.86313897 -0.09333078  1.0004815 ]
20,[-0.39132025  0.12559059  1.0035501  36.90657252  0.11134341  1.00058949]
21,[-0.12352552  0.40482287  1.00343395 36.84427219 -0.1655086   1.00330346]
22,"[ 3.03439691e-01  1.77200951e-02  1.00015320e+00  3.74573850e+01
 -2.30435729e-01  9.97635277e-01]"
23,[ 0.46383901 -0.20987156  0.99794055 36.95865561  0.10581588  0.99515624]
24,"[-2.81929821e-02  1.17819773e-01  9.97999679e-01  3.69600191e+01
  3.69030130e-01  9.97074940e-01]"
25,"[15.5627044   0.34198551  1.0011444   0.10688791 -0.20132486  1.00077675
 93.1976024   0.2041522   1.00084316]"
26,"[ 0.79511691  0.19707077  1.03326128 80.99908209 -0.12240482  1.09476014
 99.17199648 29.94750662  0.21324072]"
27,"[ 7.11519480e+00 -2.29175592e-01  1.00211326e+00  8.40809145e+01
 -2.39231146e-01  1.00381845e+00  3.77319210e-01  3.67765541e-02
  9.96558139e-01]"
28,"[ 1.24672871e+01  1.89546628e-02  1.12381982e+00  6.09156804e+01
  1.12137364e+02  4.26010403e-02  2.76328906e+00 -2.31656979e-01
  1.21430482e+00]"
29,"[16.45231195 -0.09843155  0.99693081  0.27943965  0.38138752  1.00305064
 93.34409423  0.15975809  1.00158378]"
30,"[ 1.33073406 -0.08924851  0.99116685  2.21397465 25.87844247  0.99498677
 -0.38140579 26.06373999  0.99873521]"
31,"[ 1.75087531 74.94292785  0.97567494  0.12555167  0.25939441  1.01733173
 53.5066117  99.92230203  0.26134724]"
32,"[-3.05378498e-02 -1.73934831e-01  9.96113541e-01  4.40966741e-01
  2.57682096e+01  1.01715985e+00 -8.95786817e-01  1.00877140e+02
  2.61424377e-01]"
33,"[2.18879546e+00 7.37336598e+01 9.81255456e-01 2.02866881e+00
 4.26191331e-02 1.00326914e+00 3.56226236e-01 3.92932287e-01
 1.24371663e+00]"
34,"[ 1.18187024 74.84442515  0.97765471  0.12736351 -0.44491845  1.01908635
 -0.20087088 75.42023375  0.34373671]"
35,"[64.65675939 41.32345526  0.73488843  0.14818273  0.16834978  1.8778231
 13.81513726 40.88702241  0.95494692]"
